nome,documento,dataNascimento,email,telefone_1,telefone_2,endereco,cep,municipio,uf,numeroEndereco,bairro,profissao,atividadeEconomica,vinculoEmpregaticio,tipoRenda,nome_gerente,email_gerente,telefone_gerente_1,telefone_gerente_2,telefone_gerente_3,id_pa,nome_pa
Srta. Luiza da Rocha,713.960.248-40,11/12/1978,das-nevesclarice@costela.br,21 4841-2866,+55 (081) 8510-7633,"Setor Bryan Rocha, 524, Solimoes, 17618-249 Pires / PR",47850337,Araújo de Silva,PR,915,Jardim Atlântico,Passador,ASSALARIADO,SERVIDOR PÚBLICO,COMÉRCIO,Fernando Freitas,maria-julia88@da.com,+55 41 0927 8298,71 5218-9031,+55 (051) 4252-2954,0,UFMG
João Lucas Castro,325.914.607-52,14/07/1982,amoraes@teixeira.com,(011) 7406-7875,+55 31 2267-8557,"Setor Mirella Martins, 76, Serra, 63379-583 Monteiro / BA",88860-196,Teixeira,MG,564,São João Batista,Piloto de avião,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,SERVIÇOS,Emanuel Lopes,saraujo@ribeiro.com,11 9493-3241,+55 84 0849 3211,0900 013 8580,0,UFMG
Ryan Pires,260.938.745-83,11/05/1960,melosamuel@hotmail.com,(021) 0725 6127,(084) 1761 5001,"Esplanada Augusto Peixoto, 34, Santa Margarida, 09559-123 da Cruz de Ribeiro / DF",66928-323,Gomes do Campo,TO,70,Vila Rica,Gerente de inovações ou novos negócios,EMPRESÁRIO,CLT,SERVIÇOS,Joana Jesus,viniciussilva@vieira.org,0500-590-3085,+55 41 1101-7417,+55 11 0402 8101,0,UFMG
Erick da Luz,834.795.026-10,25/11/1997,costalucas-gabriel@yahoo.com.br,+55 21 7861-9509,(031) 3031-7169,"Largo Mendes, 3, Vila Sesc, 38468-772 das Neves / MG",85247-562,Barbosa de Goiás,AP,227,Vila Nossa Senhora Do Rosário,Taxista,EMPRESÁRIO,SERVIDOR PÚBLICO,INDÚSTRIA,Gustavo da Mota,bcorreia@moreira.com,(081) 2198-5715,(081) 9150 3789,51 7868 1036,1,CEFET
Larissa Alves,834.216.597-37,23/01/1964,emanuel71@ig.com.br,84 0613 8774,(084) 7274 7046,"Lago Luiz Felipe Monteiro, 8, Vista Alegre, 63799882 da Cunha da Serra / RS",14493-154,Pereira Grande,MT,248,Vila Barragem Santa Lúcia,Capataz,EMPRESÁRIO,CLT,COMÉRCIO,Maria Cavalcanti,moreirathales@moreira.com,0800-028-0163,51 8796 8314,+55 (041) 6221-7535,1,CEFET
Carolina Rodrigues,165.347.890-00,07/04/2003,nogueirafernanda@bol.com.br,0500 700 9319,51 2610 1942,"Travessa da Rocha, Nova Esperança, 59355-161 Melo Alegre / MG",68418-191,da Rocha,AL,789,Vila De Sá,Paginador,PROFISSIONAL AUTÔNOMO,CLT,SERVIÇOS,Sra. Joana Cardoso,enzo11@melo.br,71 4175-9312,+55 31 3999-9116,(061) 1778 4094,1,CEFET
Lucas Gabriel Silveira,390.654.278-56,13/12/1968,mariane41@bol.com.br,0500-280-9204,+55 (061) 9417-9150,"Conjunto Gabrielly Ramos, 2, Vila Calafate, 47032-245 Nunes / DF",92714-625,Nascimento de Fernandes,AP,24,Novo Aarão Reis,Naturólogo,EMPRESÁRIO,AUTÔNOMO,COMÉRCIO,Agatha Cavalcanti,martinsmelissa@martins.com,+55 51 5562 9103,(031) 1222-8683,0500-332-4232,2,DOM BOSCO
Sra. Fernanda Santos,506.317.428-08,06/07/1988,oalmeida@hotmail.com,31 4045 2617,+55 (061) 6778-6873,"Morro Eduardo Barbosa, 179, Mariquinhas, 91362264 Araújo das Pedras / SE",73478752,Alves,AL,203,Santa Maria,Patologista,ASSALARIADO,SERVIDOR PÚBLICO,INDÚSTRIA,Benjamin Silva,clariceduarte@alves.com,+55 (061) 2971-6541,+55 11 4094-0611,+55 (084) 3728 9889,2,DOM BOSCO
Dr. Raul da Mata,485.671.023-08,23/03/1993,teixeiraclara@da.org,+55 (061) 5139-9215,+55 (061) 5892-9999,"Sítio de Azevedo, 731, Canaa, 45109863 Souza do Campo / PA",49818-028,Barbosa do Amparo,PR,51,Taquaril,Lubrificador de máquinas,ASSALARIADO,AUTÔNOMO,INDÚSTRIA,Thomas Vieira,joao-vitorda-luz@rocha.com,(011) 8050-5356,(084) 8979-7746,+55 (031) 1004-3671,2,DOM BOSCO
Juan Moura,507.342.869-29,17/11/1997,levi49@hotmail.com,(081) 3081 2998,0800 822 2609,"Largo Mariane Moura, 9, Beija Flor, 65162-336 Correia Grande / AP",85352-806,Carvalho,MT,110,Dona Clara,Médico legista,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,INDÚSTRIA,Sr. Ryan da Rocha,yago56@fogaca.br,+55 (011) 0188-3587,+55 31 4205-4623,+55 11 7748-2685,3,SAÚDE
Dr. Cauê Jesus,623.057.189-77,10/10/1971,thomas04@barros.br,0900 815 6411,(011) 5845-1281,"Quadra de Pereira, 8, Solimoes, 74191-682 da Mota / PA",78367228,Farias,RS,555,Vila Jardim Montanhes,Windsurfer,ASSALARIADO,CLT,COMÉRCIO,Raul Cardoso,nlima@da.com,+55 (031) 9568-7106,+55 11 9808-5779,11 1285 7506,3,SAÚDE
Lucca Fernandes,618.345.907-01,10/07/1962,uribeiro@gmail.com,+55 (081) 2697-5783,+55 51 8882 7964,"Área Azevedo, 32, Vila Calafate, 60900-953 Cardoso de Castro / BA",94973590,Alves Grande,MA,838,São Lucas,Fundidor de placa de gesso,PROFISSIONAL AUTÔNOMO,CLT,SERVIÇOS,Yasmin Campos,hramos@duarte.br,+55 81 7272-0363,+55 (031) 7351-0260,(041) 6676-0186,3,SAÚDE
Ana Vitória Aragão,890.627.451-30,20/03/1962,gustavoda-costa@carvalho.net,81 6838-6879,21 2192 0890,"Residencial de da Rosa, 44, Boa Esperança, 93007614 Araújo de Costa / RN",37605543,Melo,PE,698,São Francisco Das Chagas,Tecnólogo em rochas ornamentais,ASSALARIADO,AUTÔNOMO,COMÉRCIO,Bernardo da Mota,joaquimteixeira@da.com,(021) 8563 3400,(071) 9742 8841,(081) 1101 6375,4,VENDA NOVA
Emanuella Araújo,371.209.568-68,06/02/1989,souzalivia@ribeiro.br,+55 (041) 3731 5559,(061) 4476-7669,"Viaduto Julia Nascimento, 5, São Bento, 53928641 Carvalho de da Rocha / RN",83719-308,Moura de da Paz,AP,962,União,Promotor público/de justiça,PROFISSIONAL AUTÔNOMO,CLT,SERVIÇOS,Maria Eduarda Lopes,joao-lucas83@da.com,+55 (031) 5380 7150,+55 (021) 9080 9436,+55 (071) 6900-8054,4,VENDA NOVA
Kamilly Ferreira,394.256.018-60,30/09/1980,ribeiroana-luiza@uol.com.br,71 1351 9339,+55 51 6494 1165,"Estrada Dias, 23, Vila Califórnia, 67391491 Porto da Serra / RO",30894-417,da Costa,SP,86,Atila De Paiva,Jogador de boliche,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,INDÚSTRIA,Sarah Dias,aaraujo@oliveira.br,+55 61 0528 4726,+55 31 1764-7184,+55 71 0928-8488,4,VENDA NOVA
Sr. Augusto Pereira,406.158.293-33,11/07/1994,eda-conceicao@nascimento.br,+55 84 7287-0041,0300-095-7460,"Sítio de Cunha, 99, Castelo, 50474699 Martins / SP",62189567,Moura de Costa,MG,269,Mangabeiras,Infectologista,EMPRESÁRIO,SERVIDOR PÚBLICO,INDÚSTRIA,Luiz Fernando Nascimento,da-conceicaostephany@novaes.org,(021) 5053 3378,31 2045 2263,+55 (011) 6255-7242,5,UNIMONTES
