nome,documento,dataNascimento,email,telefone_1,endereco,cep,municipio,uf,numeroEndereco,bairro,profissao,atividadeEconomica,vinculoEmpregaticio,tipoRenda,nome_gerente,email_gerente,telefone_gerente_1,telefone_gerente_2,telefone_gerente_3,id_pa,nome_pa
Srta. Luiza da Rocha,713.960.248-40,11/12/1978,das-nevesclarice@costela.br,553106109968,"Setor Bryan Rocha, 524, Solimoes, 17618-249 Pires / PR",47850337,Araújo de Silva,PR,915,Jardim Atlântico,Passador,ASSALARIADO,SERVIDOR PÚBLICO,COMÉRCIO,Fernando Freitas,maria-julia88@da.com,38942529852,31982888571,38923216486,0,UFMG
João Lucas Castro,325.914.607-52,14/07/1982,amoraes@teixeira.com,553331903956,"Setor Mirella Martins, 76, Serra, 63379-583 Monteiro / BA",88860-196,Teixeira,MG,564,São João Batista,Piloto de avião,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,SERVIÇOS,Emanuel Lopes,saraujo@ribeiro.com,32959883850,38970404492,31955573586,0,UFMG
Ryan Pires,260.938.745-83,11/05/1960,melosamuel@hotmail.com,553521518391,"Esplanada Augusto Peixoto, 34, Santa Margarida, 09559-123 da Cruz de Ribeiro / DF",66928-323,Gomes do Campo,TO,70,Vila Rica,Gerente de inovações ou novos negócios,EMPRESÁRIO,CLT,SERVIÇOS,Joana Jesus,viniciussilva@vieira.org,37949880930,38992094137,32942259743,0,UFMG
Erick da Luz,834.795.026-10,25/11/1997,costalucas-gabriel@yahoo.com.br,553893722162,"Largo Mendes, 3, Vila Sesc, 38468-772 das Neves / MG",85247-562,Barbosa de Goiás,AP,227,Vila Nossa Senhora Do Rosário,Taxista,EMPRESÁRIO,SERVIDOR PÚBLICO,INDÚSTRIA,Gustavo da Mota,bcorreia@moreira.com,38954750023,37982058423,38931467346,1,CEFET
Larissa Alves,834.216.597-37,23/01/1964,emanuel71@ig.com.br,553778744896,"Lago Luiz Felipe Monteiro, 8, Vista Alegre, 63799882 da Cunha da Serra / RS",14493-154,Pereira Grande,MT,248,Vila Barragem Santa Lúcia,Capataz,EMPRESÁRIO,CLT,COMÉRCIO,Maria Cavalcanti,moreirathales@moreira.com,33942351067,31922194424,35983073439,1,CEFET
Carolina Rodrigues,165.347.890-00,07/04/2003,nogueirafernanda@bol.com.br,553791899070,"Travessa da Rocha, Nova Esperança, 59355-161 Melo Alegre / MG",68418-191,da Rocha,AL,789,Vila De Sá,Paginador,PROFISSIONAL AUTÔNOMO,CLT,SERVIÇOS,Sra. Joana Cardoso,enzo11@melo.br,33928404293,35996154957,38935759442,1,CEFET
Lucas Gabriel Silveira,390.654.278-56,13/12/1968,mariane41@bol.com.br,553283807624,"Conjunto Gabrielly Ramos, 2, Vila Calafate, 47032-245 Nunes / DF",92714-625,Nascimento de Fernandes,AP,24,Novo Aarão Reis,Naturólogo,EMPRESÁRIO,AUTÔNOMO,COMÉRCIO,Agatha Cavalcanti,martinsmelissa@martins.com,37916020434,33982357910,38963522902,2,DOM BOSCO
Sra. Fernanda Santos,506.317.428-08,06/07/1988,oalmeida@hotmail.com,553297159888,"Morro Eduardo Barbosa, 179, Mariquinhas, 91362264 Araújo das Pedras / SE",73478752,Alves,AL,203,Santa Maria,Patologista,ASSALARIADO,SERVIDOR PÚBLICO,INDÚSTRIA,Benjamin Silva,clariceduarte@alves.com,35906317959,33933296116,32937331828,2,DOM BOSCO
Dr. Raul da Mata,485.671.023-08,23/03/1993,teixeiraclara@da.org,553504371626,"Sítio de Azevedo, 731, Canaa, 45109863 Souza do Campo / PA",49818-028,Barbosa do Amparo,PR,51,Taquaril,Lubrificador de máquinas,ASSALARIADO,AUTÔNOMO,INDÚSTRIA,Thomas Vieira,joao-vitorda-luz@rocha.com,38961927730,35955119073,33970988913,2,DOM BOSCO
Lucas Alves do Nascimento,166.744.626.67,14/04/2002,lucas@mesotelecom.com.br,553189738409,Avenida do Contorno,30110-044,Belo Horizonte,BH,6434,savassi,Desenvolvedor,ASSALARIADO,CLT,INDÚSTRIA,Reginaldo,Reginaldo@mesotelecom.com.br,,,,97,DIGITAL
